Cleaned data: 787920 -> 609679 rows. Saved: v2/results/cleaned.csv
Using only first turbine (TurbID=1). Rows: 4488
Samples -> train: 128, val: 16, test: 17

Train samples (show 5):
  [0] TurbID=1, start_idx=14, hist=(2020-01-01 16:00:00~2020-01-02 15:00:00), pred=(2020-01-02 16:00:00~2020-01-03 15:00:00)
  [1] TurbID=1, start_idx=19, hist=(2020-01-01 21:00:00~2020-01-02 20:00:00), pred=(2020-01-02 21:00:00~2020-01-03 20:00:00)
  [2] TurbID=1, start_idx=24, hist=(2020-01-02 02:00:00~2020-01-03 01:00:00), pred=(2020-01-03 02:00:00~2020-01-04 01:00:00)
  [3] TurbID=1, start_idx=29, hist=(2020-01-02 07:00:00~2020-01-03 06:00:00), pred=(2020-01-03 07:00:00~2020-01-04 06:00:00)
  [4] TurbID=1, start_idx=34, hist=(2020-01-02 12:00:00~2020-01-03 11:00:00), pred=(2020-01-03 12:00:00~2020-01-04 11:00:00)

Val samples (show 5):
  [0] TurbID=1, start_idx=3788, hist=(2020-07-22 05:00:00~2020-07-23 04:00:00), pred=(2020-07-23 05:00:00~2020-07-24 04:00:00)
  [1] TurbID=1, start_idx=3793, hist=(2020-07-22 10:00:00~2020-07-23 09:00:00), pred=(2020-07-23 10:00:00~2020-07-24 09:00:00)
  [2] TurbID=1, start_idx=3798, hist=(2020-07-22 15:00:00~2020-07-23 14:00:00), pred=(2020-07-23 15:00:00~2020-07-24 14:00:00)
  [3] TurbID=1, start_idx=3803, hist=(2020-07-22 20:00:00~2020-07-23 19:00:00), pred=(2020-07-23 20:00:00~2020-07-24 19:00:00)
  [4] TurbID=1, start_idx=3808, hist=(2020-07-23 01:00:00~2020-07-24 00:00:00), pred=(2020-07-24 01:00:00~2020-07-25 00:00:00)

Test samples (show 5):
  [0] TurbID=1, start_idx=3994, hist=(2020-08-02 07:00:00~2020-08-03 06:00:00), pred=(2020-08-03 07:00:00~2020-08-04 06:00:00)
  [1] TurbID=1, start_idx=3999, hist=(2020-08-02 12:00:00~2020-08-03 11:00:00), pred=(2020-08-03 12:00:00~2020-08-04 11:00:00)
  [2] TurbID=1, start_idx=4004, hist=(2020-08-02 17:00:00~2020-08-03 16:00:00), pred=(2020-08-03 17:00:00~2020-08-04 16:00:00)
  [3] TurbID=1, start_idx=4009, hist=(2020-08-02 22:00:00~2020-08-03 21:00:00), pred=(2020-08-03 22:00:00~2020-08-04 21:00:00)
  [4] TurbID=1, start_idx=4014, hist=(2020-08-03 03:00:00~2020-08-04 02:00:00), pred=(2020-08-04 03:00:00~2020-08-05 02:00:00)
Epoch 1/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=1.00 lr=0.001
Epoch 2/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=1.00 lr=0.001
Epoch 3/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=1.00 lr=0.001
Epoch 4/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.99 lr=0.001
Epoch 5/400 train_mse_scaled=0.000000 val_mae=457.432 val_rmse=488.780 test_mae=396.242 test_rmse=476.111 tf=0.99 lr=0.001
